trial	video_id_presented	SAM_valence	SAM_arousal	premo	Video_Status	Highlights
1	4	3	3	4;7;9;14;15	2	2;3;4;6
2	6	2	3	2;7;14;15	1	1;3;4
3	2	3	3	1;3;9;13;14	2	7
4	5	1	3	4;7;9;14	2	1;3;6
5	1	1	7	2;4;9;14	2	1;2;6
6	10	4	3	14;15	2	6
7	3	2	6	2;4;7;9;14	2	3;4;6
8	7	3	3	9;14	2	2;3
9	8	3	4	9;14;15	2	1;6
10	9	3	3	2;4;9;14	2	5
