trial	video_id_presented	SAM_valence	SAM_arousal	premo	Video_Status	Highlights
1	7	8	3	5;13	2	2;4;5;6
2	6	7	4	5;10;13	1	3;4;6
3	9	8	1	5;13	2	1;2;3;5
4	4	9	2	5;13	2	2;3;4;5;6
5	10	9	3	5;10;13	2	3;4;6
6	1	9	5	1;5;8;11	2	1;4;6
7	2	9	3	5;10;13	2	1;3;4;5;6
8	3	8	1	5;13	2	1;2;3;6
9	8	9	2	5;10;13	2	1;2;3;5;6
10	5	9	1	5;13	2	2;4;6
