trial	video_id_presented	SAM_valence	SAM_arousal	premo	Video_Status	Highlights
1	9	8	8	11;15	1	4;6
2	6	7	7	7;11	2	4;5;6
3	7	6	7	1;7;11;15	1	3
4	5	7	7	1;6;8;11	2	2;6
5	8	6	5	11	1	7
6	4	6	5	11	2	3;5
7	3	6	6	1;11;15	2	6
8	2	5	5	2;5;7;15	2	7
9	1	7	7	1;5;11	2	5;6
10	10	6	5	11	2	1
