trial	video_id_presented	SAM_valence	SAM_arousal	premo	Video_Status	Highlights
1	3	2	6	4	2	4;5;6
2	1	1	7	9;14	2	2;4;6
3	5	3	3	16	2	7
4	9	4	3	16	2	7
5	4	3	4	14	2	3;4
6	10	3	6	2;14	2	1;5
7	6	3	4	14	2	3
8	7	4	6	14	2	7
9	2	4	4	14	2	5;6
10	8	4	3	14	2	2;3;4
