trial	video_id_presented	SAM_valence	SAM_arousal	premo	Video_Status	Highlights
1	1	7	2	5;13	1	2
2	9	6	1	3;13	2	2;4;5
3	8	5	2	3;13	2	2;5
4	5	5	4	13	2	2;5;6
5	2	8	6	5	2	1;2;3;4;5;6
6	7	5	2	3	2	1
7	6	7	6	10	2	3;4;6
8	10	7	6	5;10	1	3
9	3	5	3	3	2	1
10	4	5	3	3	2	3;4;5;6
