trial	video_id_presented	SAM_valence	SAM_arousal	premo	Video_Status	Highlights
1	3	4	6	4;7;9	2	4
2	8	1	7	2;4;7;9;14;15	2	4;6
3	4	4	7	4;7;9	2	2;4;6
4	2	3	6	2;4;7;9	2	2;3;5;6
5	5	2	8	2;4;7;9	2	2;3;5;6
6	1	2	8	4;7;9	2	1;3;5;6
7	9	4	4	7;9	2	6
8	7	3	6	7;9	2	2;6
9	6	3	4	7;9	2	3
10	10	3	4	9	2	3;4
