trial	video_id_presented	SAM_valence	SAM_arousal	premo	Video_Status	Highlights
1	9	7	2	5;6;13	2	1
2	10	8	3	5;6;13	2	2;4
3	4	6	2	1;3;5;13	2	5
4	1	7	3	1;5;8;13	2	3;5;6
5	8	6	3	5;6;13	1	3;5
6	5	6	3	3;5;6;13	2	7
7	7	7	2	3;5;13	2	4
8	6	7	5	1;6;10;15	2	1;3
9	2	7	3	5;6;11;13	2	6
10	3	6	1	3;5;13	2	1
