trial	video_id_presented	SAM_valence	SAM_arousal	premo	Video_Status	Highlights
1	10	7	6	5;11	2	1;3;4;6
2	1	8	7	5;11	2	1;2;5;6
3	2	6	5	11	2	2;3;4;5
4	9	7	6	11	2	3;4;5;6
5	5	7	7	11	2	2;4;6
6	8	6	6	5;11	1	2;3;4
7	7	8	7	11	2	2;3;4;5
8	6	9	7	5;11	2	1;2;3;4;5;6
9	4	9	7	5;11	2	3;4;5;6
10	3	8	7	5;11	2	2;3;4;6
