trial	video_id_presented	SAM_valence	SAM_arousal	premo	Video_Status	Highlights
1	6	8	7	5;11	2	5
2	8	6	5	11	2	7
3	1	7	6	11	2	6
4	7	5	5	3	2	7
5	9	6	5	11	2	5
6	10	7	6	11	2	
7	4	7	7	11	2	5
8	3	6	5	3	2	7
9	5	6	6	11	2	6
10	2	6	6	11	2	
