trial	video_id_presented	SAM_valence	SAM_arousal	premo	Video_Status	Highlights
1	4	2	2	14	2	1;2;3;4;5;6
2	2	1	1	14	2	2;3;5
3	9	1	1	2;14	2	3;4;5
4	7	1	1	14	2	2;3;4;5;6
5	3	1	3	2;4;7;9;14	2	1;2;3;4;5;6
6	6	2	2	2;14	2	1;3;4;6
7	5	1	1	2;14	2	3;4;5
8	1	1	1	2;9;14	2	1;2;3;4;5;6
9	8	3	3	9;14	2	1;2;4;6
10	10	3	3	2;14	2	1;2;5;6
